Matricule,AR 1,AV 1,DIST 1,AR 2,AV 2,DIST 2
AM2,1.0038,,,1.01262,,
1,0.97702,1.99728,20.23372,0.98953,2.00614,20.23399
2,1.24658,1.89112,20.84393,1.2488,1.90365,20.83404
3,1.84004,2.0001,22.73969,1.84127,2.00236,22.73564
4,1.88858,1.8241,57.56994,1.88885,1.82523,57.5674
5,1.96429,1.91303,52.28864,1.96113,1.91332,52.28105
6,1.86745,1.93077,52.27156,1.88143,1.92758,52.304
7,1.86121,1.85097,52.32853,1.86359,1.86494,52.32333
8,1.92127,1.87621,52.40327,1.9235,1.8785,52.39929
9,1.93678,1.93272,56.39839,1.94203,1.93496,56.40863
10,1.93338,1.91709,62.87966,1.93606,1.92226,62.8841
11,0.81109,2.37223,33.88409,0.81214,2.37494,33.87803
12,0.76219,2.00598,12.20092,0.74111,2.00698,12.19889
13,0.7357,2.1344,14.09768,0.7419,2.11328,14.10786
14,0.98059,1.98033,14.77765,0.97459,1.98653,14.78156
15,2.03057,2.03195,16.9189,2.02082,2.02591,16.91863
16,2.04681,0.97924,16.91974,2.05302,0.9695,16.92845
17,2.16034,0.69491,16.01444,2.15956,0.70112,16.01498
18,2.0616,0.62784,15.71883,2.09513,0.62707,15.72034
19,1.80606,0.6946,12.49953,1.80296,0.72822,12.47545
20,1.92632,1.80658,31.1836,1.93518,1.80339,31.18566
21,1.54182,1.57317,62.62221,1.5403,1.58206,62.61771
22,1.95528,1.92573,54.76718,1.9543,1.92412,54.77044
23,1.81213,1.9408,62.75793,1.81505,1.93962,62.7448
24,1.93868,1.82279,65.1421,1.94115,1.8257,65.13604
25,1.92477,1.93706,64.59633,1.92492,1.93946,64.59809
26,1.89471,1.91907,64.54737,1.89884,1.91919,64.55194
27,1.90565,1.89746,65.14669,1.91322,1.90167,65.14826
28,1.89423,1.90812,64.59812,1.89372,1.91567,64.57873
29,1.90728,1.88753,64.60372,1.91296,1.88702,64.60188
30,1.35562,1.91396,64.49021,1.35214,1.91954,64.48418
31,2.3711,2.37805,36.21608,2.36845,2.37451,36.23689
32,1.76169,1.34874,36.35026,1.75913,1.34595,36.21158
33,1.87286,1.75034,64.76614,1.87229,1.74783,64.78967
34,1.83997,1.85864,61.61865,1.83881,1.85807,61.62813
35,1.54761,1.49764,62.52533,1.54506,1.4964,62.51519
36,1.93105,1.90587,57.48631,1.93485,1.90314,57.47127
37,1.91127,1.91726,60.09246,1.91626,1.92108,60.09688
38,1.93986,1.9376,60.12393,1.94872,1.94248,60.12919
39,1.96307,1.93984,60.08382,1.96774,1.94882,60.07725
40,1.92526,1.95036,60.07565,1.93295,1.95483,60.07179
41,1.72078,1.92593,60.07273,1.69441,1.93345,60.06248
42,2.02787,2.05425,21.72701,2.02376,2.02797,21.7135
43,1.93388,1.69436,21.71676,1.93733,1.69036,21.69651
44,1.92954,1.95565,60.13556,1.93111,1.95898,60.14792
45,1.9245,1.94161,60.08834,1.92466,1.94329,60.09029
46,1.91312,1.90706,58.11201,1.91719,1.90713,58.1178
47,1.89397,1.89317,55.59808,1.89246,1.89736,55.61486
48,1.90795,1.88821,64.27174,1.91081,1.88667,64.27135
49,1.89839,1.92006,46.16078,1.89925,1.92283,46.15359
50,1.90748,1.90774,55.34071,1.90234,1.90852,55.34844
51,1.91008,1.90077,55.3423,1.91262,1.89582,55.30754
52,1.90447,1.91856,55.28538,1.91036,1.92116,55.27692
53,1.92091,1.91716,55.25918,1.92504,1.92313,55.2469
54,1.93143,1.91187,55.29309,1.93532,1.91621,55.30563
55,1.9591,1.94163,55.25983,1.96454,1.9454,55.26725
56,1.94097,1.94778,58.49781,1.94955,1.95335,58.48859
57,1.98609,1.94517,62.14673,1.99029,1.95371,62.13639
58,1.97466,1.96731,62.13918,1.9824,1.97152,62.11933
59,2.01369,1.98036,62.12555,1.98208,1.98801,62.12113
60,2.01929,2.02759,62.15757,2.02087,1.99592,62.1614
61,1.98843,2.00182,62.16937,1.99694,2.00332,62.15994
62,1.93403,1.97699,62.11918,1.93932,1.98536,62.12966
63,1.9525,1.94176,62.19956,1.96259,1.94702,62.18658
64,1.39649,1.95662,59.09637,1.39351,1.96649,59.10087
65,0.60047,2.35856,38.26465,0.60742,2.35558,38.24948
66,0.683,1.95553,14.95767,0.69127,1.96248,14.96205
67,0.78622,2.1198,15.6572,0.78292,2.12815,15.64464
68,1.72226,1.64791,32.32778,1.7068,1.64445,32.35031
69,1.29566,1.33073,20.2869,1.29709,1.31536,20.28721
70,1.59136,1.6872,20.28655,1.61582,1.68864,20.27985
71,2.13837,0.72977,32.46754,2.15886,0.75433,32.53092
72,1.99743,0.57639,16.63436,2.01356,0.59685,16.64
73,2.05943,0.64156,15.00955,2.06179,0.65775,15.00495
76,1.91361,1.92337,65.07484,1.91945,1.92619,65.07633
77,1.87892,1.91153,60.11164,1.88174,1.91723,60.11593
78,1.95579,1.91202,60.05306,1.95496,1.91477,60.04571
79,1.95299,1.95959,60.58528,1.94959,1.95874,60.58098
80,1.99785,1.98507,57.5986,2.00403,1.98186,57.59782
83,1.05806,2.44923,13.63658,1.06015,2.45028,13.66217
84,1.07809,2.29724,5.13917,1.07867,2.29931,5.18077
85,1.13915,2.28005,5.86163,1.14006,2.28061,5.79851
86,1.04772,2.35739,5.15996,1.05594,2.35827,5.12631
87,1.03507,2.24525,6.31624,1.03475,2.25347,6.26935
88,0.99431,2.23058,5.45317,1.03316,2.23028,5.61719
89,1.04961,2.17538,5.04406,1.05178,2.21417,5.02068
90,1.01301,2.25438,5.79734,1.02052,2.25657,5.86125
91,1.03966,2.25064,5.36648,1.0404,2.25814,5.39626
92,1.33061,2.23474,4.87569,1.32899,2.23544,4.83923
CR11,,0.60288,61.41687,,0.71019,61.43516
