Point,Altitude_Compensee_m,Correction_mm,Type,Precision_mm
AM2,518.519000,0.0,Reference,0.0
1,517.500537,0.0,Point,0.0
2,516.850812,0.0,Point,0.0
3,516.690202,0.0,Point,0.0
4,516.754026,0.0,Point,0.0
5,516.803375,0.0,Point,0.0
6,516.748453,0.0,Point,0.0
7,516.752712,0.0,Point,0.0
8,516.797554,0.0,Point,0.0
9,516.802902,0.0,Point,0.0
10,516.817678,0.0,Point,0.0
11,515.255629,0.0,Point,0.0
12,514.000789,0.0,Point,0.0
13,512.615736,0.0,Point,0.0
14,511.609881,0.0,Point,0.0
15,511.606626,0.0,Point,0.0
16,512.682152,0.0,Point,0.0
17,514.144069,0.0,Point,0.0
18,515.594962,0.0,Point,0.0
19,516.688052,0.0,Point,0.0
20,516.813750,0.0,Point,0.0
21,516.776928,0.0,Point,0.0
22,516.806588,0.0,Point,0.0
23,516.679700,0.0,Point,0.0
24,516.795080,0.0,Point,0.0
25,516.781381,0.0,Point,0.0
26,516.758742,0.0,Point,0.0
27,516.768322,0.0,Point,0.0
28,516.750118,0.0,Point,0.0
29,516.772678,0.0,Point,0.0
30,516.209525,0.0,Point,0.0
31,516.202930,0.0,Point,0.0
32,516.615905,0.0,Point,0.0
33,516.739109,0.0,Point,0.0
34,516.719885,0.0,Point,0.0
35,516.768933,0.0,Point,0.0
36,516.797153,0.0,Point,0.0
37,516.791502,0.0,Point,0.0
38,516.795505,0.0,Point,0.0
39,516.816334,0.0,Point,0.0
40,516.792598,0.0,Point,0.0
41,516.570257,0.0,Point,0.0
42,516.554930,0.0,Point,0.0
43,516.798143,0.0,Point,0.0
44,516.770906,0.0,Point,0.0
45,516.752790,0.0,Point,0.0
46,516.760619,0.0,Point,0.0
47,516.758358,0.0,Point,0.0
48,516.780017,0.0,Point,0.0
49,516.757246,0.0,Point,0.0
50,516.753818,0.0,Point,0.0
51,516.766664,0.0,Point,0.0
52,516.754010,0.0,Point,0.0
53,516.756632,0.0,Point,0.0
54,516.775759,0.0,Point,0.0
55,516.793855,0.0,Point,0.0
56,516.788317,0.0,Point,0.0
57,516.826804,0.0,Point,0.0
58,516.835655,0.0,Point,0.0
59,516.849092,0.0,Point,0.0
60,516.857154,0.0,Point,0.0
61,516.847005,0.0,Point,0.0
62,516.802242,0.0,Point,0.0
63,516.815133,0.0,Point,0.0
64,516.248340,0.0,Point,0.0
65,514.495115,0.0,Point,0.0
66,513.223230,0.0,Point,0.0
67,511.883808,0.0,Point,0.0
68,511.952087,0.0,Point,0.0
69,511.925389,0.0,Point,0.0
70,511.841031,0.0,Point,0.0
71,513.247524,0.0,Point,0.0
72,514.666380,0.0,Point,0.0
73,516.077319,0.0,Point,0.0
76,516.068781,0.0,Point,0.0
77,516.034484,0.0,Point,0.0
78,516.076218,0.0,Point,0.0
79,516.068093,0.0,Point,0.0
80,516.085342,0.0,Point,0.0
83,514.694679,0.0,Point,0.0
84,513.474782,0.0,Point,0.0
85,512.334055,0.0,Point,0.0
86,511.028053,0.0,Point,0.0
87,509.813600,0.0,Point,0.0
88,508.596903,0.0,Point,0.0
89,507.452822,0.0,Point,0.0
90,506.214109,0.0,Point,0.0
91,504.999747,0.0,Point,0.0
92,504.094456,0.0,Point,0.0

# STATISTIQUES GLOBALES
# Sigma0_mm,0.0
# Correction_max_mm,0.0
# RMS_residus_mm,0.0
# Qualite, Excellente qualité - Compensation très précise
# Methode,Moindres Carrés
# Date_calcul,2025-08-14 04:13:18
