Matricule,Altitude_Originale,Correction_mm,Altitude_Compensee,Residu_mm
1,125.456000,-1018.435,125.456000,0.000
2,124.437565,-649.695,123.419130,0.000
3,123.787870,-160.575,122.119740,0.000
4,123.627295,64.050,121.798590,0.000
5,123.691345,49.535,121.926690,-0.000
6,123.740880,-54.735,122.025760,0.000
7,123.686145,4.445,121.916290,0.000
8,123.690590,45.030,121.925180,0.000
9,123.735620,5.565,122.015240,0.000
10,123.741185,15.045,122.026370,-0.000
11,123.756230,-1561.970,122.056460,0.000
12,122.194260,-1254.830,118.932520,0.000
13,120.939430,-1385.040,116.422860,-0.000
14,119.554390,-1005.840,113.652780,0.000
15,118.548550,-3.235,111.641100,0.000
16,118.545315,1075.545,111.634630,0.000
17,119.620860,1461.935,113.785720,0.000
18,121.082795,1450.910,116.709590,0.000
19,122.533705,1093.100,119.611410,0.000
20,123.626805,125.765,121.797610,0.000
21,123.752570,-36.555,122.049140,0.000
22,123.716015,29.865,121.976030,-0.000
23,123.745880,-126.620,122.035760,0.000
24,123.619260,115.670,121.782520,0.000
25,123.734930,-13.415,122.013860,0.000
26,123.721515,-22.355,121.987030,0.000
27,123.699160,9.870,121.942320,-0.000
28,123.709030,-17.920,121.962060,-0.000
29,123.691110,22.845,121.926220,-0.000
30,123.713955,-562.870,121.971910,0.000
31,123.151085,-6.505,120.846170,-0.000
32,123.144580,413.065,120.833160,0.000
33,123.557645,123.490,121.659290,0.000
34,123.681135,-18.965,121.906270,0.000
35,123.662170,49.315,121.868340,0.000
36,123.711485,28.445,121.966970,-0.000
37,123.739930,-5.405,122.023860,0.000
38,123.734525,4.250,122.013050,-0.000
39,123.738775,21.075,122.021550,-0.000
40,123.759850,-23.490,122.063700,0.000
41,123.736360,-222.095,122.016720,0.000
42,123.514265,-15.295,121.572530,0.000
43,123.498970,243.245,121.541940,0.000
44,123.742215,-26.990,122.028430,0.000
45,123.715225,-17.870,121.974450,0.000
46,123.697355,8.060,121.938710,0.000
47,123.705415,-2.050,121.954830,0.000
48,123.703365,21.940,121.950730,-0.000
49,123.725305,-22.625,121.994610,0.000
50,123.702680,-3.220,121.949360,-0.000
51,123.699460,13.055,121.942920,0.000
52,123.712515,-12.445,121.969030,-0.000
53,123.700070,2.830,121.944140,-0.000
54,123.702900,19.335,121.949800,0.000
55,123.722235,18.305,121.988470,0.000
56,123.740540,-5.305,122.025080,0.000
57,123.735235,38.750,122.014470,0.000
58,123.773985,9.115,122.091970,0.000
59,123.783100,13.700,122.110200,0.000
60,123.796800,8.325,122.137600,0.000
61,123.805125,-9.885,122.154250,0.000
62,123.795240,-44.500,122.134480,0.000
63,123.750740,13.155,122.045480,0.000
64,123.763895,-566.555,122.071790,0.000
65,123.197340,-1753.125,120.938680,-0.000
66,121.444215,-1271.870,117.432430,-0.000
67,120.172345,-1339.405,114.888690,0.000
68,118.832940,68.350,112.209880,0.000
69,118.901290,-26.670,112.346580,-0.000
70,118.874620,-84.330,112.293240,-0.000
71,118.790290,1406.565,112.124580,-0.000
72,120.196855,1418.875,114.937710,0.000
73,121.615730,1410.955,117.775460,0.000
76,123.026685,-8.250,120.597370,0.000
77,123.018435,-34.050,120.580870,0.000
78,122.984385,41.980,120.512770,0.000
79,123.026365,-7.875,120.596730,0.000
80,123.018490,17.475,120.580980,0.000
83,123.035965,-1390.650,120.615930,-0.000
84,121.645315,-1219.895,117.834630,0.000
85,120.425420,-1140.725,115.394840,0.000
86,119.284695,-1306.000,113.113390,0.000
87,117.978695,-1214.450,110.501390,0.000
88,116.764245,-1216.695,108.072490,0.000
89,115.547550,-1144.080,105.639100,0.000
90,114.403470,-1238.710,103.350940,0.000
91,113.164760,-1214.360,100.873520,-0.000
92,111.950400,-905.290,98.444800,0.000
